lon,lat,state,county
-94.61226,36.16182,OK,Adair
-94.6016,36.16177,OK,Adair
-94.59411,36.16173,OK,Adair
-94.57663,36.16183,OK,Adair
-94.56334,36.1619,OK,Adair
-94.56272,36.16189,OK,Adair
-94.56232,36.15998,OK,Adair
-98.5405,36.63734,OK,Alfalfa
-98.54047,36.65706,OK,Alfalfa
-98.54058,36.67393,OK,Alfalfa
-98.54059,36.7131,OK,Alfalfa
-98.54041,36.73853,OK,Alfalfa
-98.54048,36.76139,OK,Alfalfa
-98.54047,36.77563,OK,Alfalfa
-98.54037,36.80466,OK,Alfalfa
-98.54036,36.80908,OK,Alfalfa
-98.54029,36.84804,OK,Alfalfa
-98.54029,36.86988,OK,Alfalfa
-98.54038,36.91261,OK,Alfalfa
-98.54029,36.93633,OK,Alfalfa
-98.54492,36.95673,OK,Alfalfa
-98.54468,36.9949,OK,Alfalfa
-98.54466,36.99876,OK,Alfalfa
-98.54087,36.99876,OK,Alfalfa
-98.53716,36.99881,OK,Alfalfa
-98.52886,36.9989,OK,Alfalfa
-98.52333,36.99888,OK,Alfalfa
-98.51732,36.99883,OK,Alfalfa
-98.50901,36.99874,OK,Alfalfa
-98.50405,36.99866,OK,Alfalfa
-98.50363,36.99867,OK,Alfalfa
-98.49857,36.99863,OK,Alfalfa
-98.48946,36.99856,OK,Alfalfa
-98.48516,36.99854,OK,Alfalfa
-98.47775,36.99851,OK,Alfalfa
-98.47377,36.99849,OK,Alfalfa
-98.47237,36.99848,OK,Alfalfa
-98.46416,36.99843,OK,Alfalfa
-98.45459,36.99841,OK,Alfalfa
-98.44351,36.99836,OK,Alfalfa
-98.43634,36.99837,OK,Alfalfa
-98.42778,36.99835,OK,Alfalfa
-98.4203,36.99843,OK,Alfalfa
-98.41842,36.9984,OK,Alfalfa
-98.40846,36.99837,OK,Alfalfa
-98.36772,36.99806,OK,Alfalfa
-98.35124,36.99797,OK,Alfalfa
-98.34976,36.99814,OK,Alfalfa
-98.34802,36.99815,OK,Alfalfa
-98.34715,36.99815,OK,Alfalfa
-98.34709,36.99813,OK,Alfalfa
-98.34636,36.99812,OK,Alfalfa
-98.34614,36.99796,OK,Alfalfa
-98.30996,36.99774,OK,Alfalfa
-98.30046,36.99768,OK,Alfalfa
-98.27442,36.99771,OK,Alfalfa
-98.25033,36.9977,OK,Alfalfa
-98.2375,36.99803,OK,Alfalfa
-98.23689,36.99796,OK,Alfalfa
-98.23046,36.99796,OK,Alfalfa
-98.22495,36.99796,OK,Alfalfa
-98.21927,36.99792,OK,Alfalfa
-98.2123,36.99796,OK,Alfalfa
-98.20822,36.998,OK,Alfalfa
-98.19671,36.99789,OK,Alfalfa
-98.19047,36.9979,OK,Alfalfa
-98.18714,36.99792,OK,Alfalfa
-98.18413,36.99793,OK,Alfalfa
-98.18259,36.9979,OK,Alfalfa
-98.17814,36.99794,OK,Alfalfa
-98.16069,36.99798,OK,Alfalfa
-98.14745,36.99816,OK,Alfalfa
-98.14152,36.99811,OK,Alfalfa
-98.13135,36.99808,OK,Alfalfa
-98.12818,36.99807,OK,Alfalfa
-98.11287,36.99809,OK,Alfalfa
-98.11198,36.99809,OK,Alfalfa
-98.11193,36.99242,OK,Alfalfa
-98.11172,36.97066,OK,Alfalfa
-98.10958,36.94204,OK,Alfalfa
-98.10955,36.93663,OK,Alfalfa
-98.10959,36.92417,OK,Alfalfa
-98.10966,36.91601,OK,Alfalfa
-98.10983,36.88202,OK,Alfalfa
-98.1098,36.84415,OK,Alfalfa
-98.11016,36.80628,OK,Alfalfa
-98.11018,36.80055,OK,Alfalfa
-98.11023,36.79477,OK,Alfalfa
-98.11035,36.78525,OK,Alfalfa
-98.11038,36.78221,OK,Alfalfa
-98.11046,36.76879,OK,Alfalfa
-98.11015,36.74267,OK,Alfalfa
-98.11007,36.73857,OK,Alfalfa
-98.11006,36.73446,OK,Alfalfa
-98.11001,36.72631,OK,Alfalfa
-98.10996,36.71735,OK,Alfalfa
-98.10993,36.7086,OK,Alfalfa
-98.10979,36.68957,OK,Alfalfa
-98.10966,36.66921,OK,Alfalfa
-98.10938,36.62867,OK,Alfalfa
-98.10941,36.61713,OK,Alfalfa
-98.1093,36.60799,OK,Alfalfa
-98.10598,36.59359,OK,Alfalfa
-98.10429,36.59358,OK,Alfalfa
-98.10427,36.59248,OK,Alfalfa
-98.10431,36.57803,OK,Alfalfa
-98.10434,36.57272,OK,Alfalfa
-98.10439,36.57165,OK,Alfalfa
-98.10429,36.56435,OK,Alfalfa
-98.10428,36.56279,OK,Alfalfa
-98.10422,36.56142,OK,Alfalfa
-98.1042,36.55928,OK,Alfalfa
-98.1042,36.55007,OK,Alfalfa
-98.10422,36.54461,OK,Alfalfa
-98.1043,36.54243,OK,Alfalfa
-98.10429,36.53765,OK,Alfalfa
-98.10431,36.53352,OK,Alfalfa
-98.10429,36.52783,OK,Alfalfa
-98.1043,36.51706,OK,Alfalfa
-98.10432,36.5132,OK,Alfalfa
-98.1043,36.5089,OK,Alfalfa
-98.10434,36.50001,OK,Alfalfa
-98.10436,36.49368,OK,Alfalfa
-98.10436,36.49212,OK,Alfalfa
-98.10431,36.48939,OK,Alfalfa
-98.10436,36.48483,OK,Alfalfa
-98.10436,36.47716,OK,Alfalfa
-98.10439,36.47169,OK,Alfalfa
-98.10437,36.47031,OK,Alfalfa
-98.10441,36.46393,OK,Alfalfa
-98.10443,36.4631,OK,Alfalfa
-98.10545,36.46312,OK,Alfalfa
-98.11742,36.46316,OK,Alfalfa
-98.13072,36.46316,OK,Alfalfa
-98.14814,36.46317,OK,Alfalfa
-98.16402,36.4632,OK,Alfalfa
-98.18436,36.46323,OK,Alfalfa
-98.20717,36.46332,OK,Alfalfa
-98.23857,36.46339,OK,Alfalfa
-98.25641,36.46333,OK,Alfalfa
-98.27074,36.46333,OK,Alfalfa
-98.28501,36.46334,OK,Alfalfa
-98.30279,36.46337,OK,Alfalfa
-98.30802,36.46332,OK,Alfalfa
-98.32624,36.46328,OK,Alfalfa
-98.33834,36.46335,OK,Alfalfa
-98.35223,36.46332,OK,Alfalfa
-98.3694,36.4632,OK,Alfalfa
-98.38361,36.4632,OK,Alfalfa
-98.39902,36.46313,OK,Alfalfa
-98.40833,36.46311,OK,Alfalfa
-98.42969,36.46306,OK,Alfalfa
-98.45216,36.46313,OK,Alfalfa
-98.47115,36.46314,OK,Alfalfa
-98.49181,36.46329,OK,Alfalfa
-98.50987,36.46327,OK,Alfalfa
-98.53326,36.46323,OK,Alfalfa
-98.53362,36.46323,OK,Alfalfa
-98.5336,36.46343,OK,Alfalfa
-98.53358,36.47011,OK,Alfalfa
-98.53357,36.48483,OK,Alfalfa
-98.53354,36.49627,OK,Alfalfa
-98.53353,36.50082,OK,Alfalfa
-98.53356,36.5183,OK,Alfalfa
-98.53347,36.53169,OK,Alfalfa
-98.53349,36.5493,OK,Alfalfa
-98.53344,36.57629,OK,Alfalfa
-98.5334,36.59422,OK,Alfalfa
-98.54047,36.60627,OK,Alfalfa
-96.09199,34.51402,OK,Atoka
-96.09221,34.54324,OK,Atoka
-96.09208,34.57552,OK,Atoka
-96.09207,34.59281,OK,Atoka
-96.09211,34.6066,OK,Atoka
-96.09212,34.61367,OK,Atoka
-96.09223,34.61634,OK,Atoka
